term,definition,category,rel_terms,abbrev,synonym,refs,alt_def,rel_terms_alt_def,refs_alt_def,drafted_by,reviewed_by,status
Contrast-to-noise ratio (CNR),"The contrast-to-noise ratio (CNR) is the detection sensitivity per sampling unit. In the context of fNIRS, this can refer to the ratio of the amplitude variation $\\delta I$ of a hemodynamic response to the level of noise $ \\sigma $in the data, i.e. CNR = $frac{\\delta I}{\\sigma} $or in the context of general image data analysis, it can refer to the average signal/intensity recovered in a selected region-of-interest (ROI) subtracting that of the background region, and divided by the spatial variations of the recovered image data in either the background or ROI.",Analysis,"signal-to-noise ratio, noise",CNR,,"<a href=""https://doi.org/10.1117/1.NPh.8.1.012101"" target=""_blank"">https://doi.org/10.1117/1.NPh.8.1.012101</a><p></p><a href=""https://doi.org/10.1117/1.1852553
"" target=""_blank"">https://doi.org/10.1117/1.1852553
</a><p></p>Wang, L. V., & Wu, H.-I. (2007). Biomedical Optics: Principles and Imaging. John Wiley & Sons
<p></p>Patterson MS and Foster FS, “The improvement and quantitative assessment of b-mode images produced by an annular array/cone hybrid,” Ultrasonic Imaging, vol. 5, no. 3, pp. 195–213, 1983.
<p></p>Davies, E. R. (2004). Machine vision: theory, algorithms, practicalities. Elsevier.
<p></p>Digital Image Processing (3rd Edition)February 2006. Gonzalez and Woods. Prentice-Hall
<p></p>
", , , ,Heidrun Wabnitz," Talukdar Raian Ferdous, Edgar Guevara, Felix Scholkmann, Usama A Syed, Meryem Ayşe Yücel, Qianqian Fang, Felipe Orihuela-Espina, Anastasia Kerr-German",Complete (agreement from at least 5 team members) 
Cross-chromophore test,"Cross-chromophore test is an evaluation strategy for prediction models that builds on the ability of NIRS to measure multiple chromophores. As a type of out-of-distribution test, it tests for generalization across chromophores by reserving all records of one chromophore for training while using the other chromophore exclusively to quantify the model’s predictive capacities.",Analysis,,CCT,,"<p></p><a href=""https://doi.org/10.1007/978-3-031-17899-3_15,
"" target=""_blank"">https://doi.org/10.1007/978-3-031-17899-3_15,
</a><p></p><a href=""https://doi.org/10.1002/hbm.25966
"" target=""_blank"">https://doi.org/10.1002/hbm.25966
</a>", , , ,Christian Gerloff," Talukdar Raian Ferdous, Usama A Syed, Anastasia Kerr-German",Open for review
Cut-off frequency,"The cut-off frequency is usually defined as the frequency at which the gain of a filter is reduced by 3-dB from the passband gain. It defines the boundary between the passband and the stopband frequency regions of the filter, and hence the frequency components of the input signals that are preserved and attenuated. It is typically expressed in Hz.
",Analysis,"Bandpass filter, High-pass filter, Low-pass filter, Sampling frequency",Fc,,"Smith, S. W. (1997). The scientist and engineer's guide to digital signal processing.California Technical Publishing",(if applicable) ,(if applicable) ,(if applicable) ,"Paola Pinti, Qianqian Fang","Usama A Syed, Samuel Forbes, Sara Sanchez-Alonso, Meryem Ayşe Yücel, Anastasia Kerr-German, Felipe Orihuela-Espina", Complete (agreement from at least 5 team members)
Dynamic causal modeling,Dynamic causal modeling (DCM) is a Bayesian model comparison framework used to estimate the effective connectivity between brain regions. DCM models are based on stochastic estimation of the parameters of an underpinning assumed generative model. One common DCM model is the bilinear model based on ordinary differential equations. ,Analysis,Granger causality,DCM,,"<p></p><a href=""https://doi.org/10.1016/s1053-8119(03)00202-7   
"" target=""_blank"">https://doi.org/10.1016/s1053-8119(03)00202-7   
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2015.02.035
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2015.02.035
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2018.04.022 
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2018.04.022 
</a><p></p><a href=""https://doi.org/10.1016/j.schres.2020.11.012
"" target=""_blank"">https://doi.org/10.1016/j.schres.2020.11.012
</a>", , , ,"Haiyan Kong, Felipe Orihuela-Espina","Gregoire Vergotte, David Moreau, Felix Scholkmann, Ishara Paranawithana, Mahmoud Elsherif, Christian Gerloff, Anastasia Kerr-German, Felipe Orihuela-Espina",Complete (agreement from at least 5 team members) 
Dynamic Functional Connectivity,"Dynamic Functional Connectivity (dFC) also called time-varying connectivity, refers to the changes in functional connectivity over time. In contrast to conventional steady state connectivity analyses, dFC analysis aims to capture the dynamic nature of brain activity and the flexible reorganization of functional coupling between brain regions or networks that occur in response to changes in task demands, environmental stimuli, or at rest. 
",Neuroscience,static connectivity,dFC,,"<a href=""https://doi.org/10.1007/s10334-010-0197-8"" target=""_blank"">https://doi.org/10.1007/s10334-010-0197-8</a><p></p><a href=""https://doi.org/10.1162/netn_a_00116
"" target=""_blank"">https://doi.org/10.1162/netn_a_00116
</a><p></p><a href=""https://pubmed.ncbi.nlm.nih.gov/20006716/
"" target=""_blank"">https://pubmed.ncbi.nlm.nih.gov/20006716/
</a><p></p><a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3807588/
"" target=""_blank"">https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3807588/
</a><p></p><a href=""https://doi.org/10.1007/s00429-013-0634-3
"" target=""_blank"">https://doi.org/10.1007/s00429-013-0634-3
</a>", , , ,Aykut Eken," Gregoire Vergotte, Talukdar Raian Ferdous, Murat Can Mutlu, Chiara Bulgarelli, Ishara Paranawithana, David Mehler, Lauren Emberson, Aahana Bajracharya, Lenaic Borot, Christian Gerloff, Meryem Ayşe Yücel, Felipe Orihuela-Espina",Complete (agreement from at least 5 team members) 
International 10-20 system,"The International 10-20 system is a system that uses four anatomical landmarks on the head (nasion, inion, and left and right preauricular points) to standardize the placement of electroencephalography (EEG) electrodes on the scalp. In this system the placement of 21 individual electrodes are determined by their distances from the landmarks, defined as the percent of the total distance (from nasion to inion and from right to left preauricular points). 10% defines the distance between the first electrode and the anatomical landmark, and 20% defines the distance between the adjacent electrodes. The International 10-20 system and its more fine-grained successors (such as 10-10, 10-5) are important in clinical and research EEG. In fNIRS research it is sometimes used to define optode positions and corresponding cortical structures.",Analysis,"International 10-5 system; International 10-10 system, Landmark",,,"Jasper, H.H. (1958) The Ten-Twenty Electrode System of the International Federation. Electroencephalography and Clinical Neurophysiology, 10, 371-375.<p></p><a href=""https://doi.org/10.1016/j.neuroimage.2009.02.006
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2009.02.006
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2003.08.026
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2003.08.026
</a>", , , ,"Thomas Dresler, Meryem Ayşe Yücel"," Lenaic Borot; Gregoire Vergotte David Moreau, Franziska Klein; Mahmoud Elsherif, Chia-Chuan Yu, Murat Can Mutlu, Felix Scholkmann, Jason DeFreitas, SImone Cutini, Christian Gerloff, Samuel Forbes",Complete (agreement from at least 5 team members) 
Fiducial Marker,"Fiducials are usually referred to as physical attachments, insertions, or digital markers, often positioned at  well-defined locations with strong detectable signals in the acquired experimental data or auxiliary measurements. Fiducials are typically used for facilitating the localization of sensors and co-registration between probes and anatomical structures.",Analysis,"Coordinate system, Vitamin E capsules, Digitizer",,"Fiducial landmark, Fiducial","<a href=""https://bids-specification.readthedocs.io/en/stable/04-modality-specific-files/11-near-infrared-spectroscopy.html "" target=""_blank"">https://bids-specification.readthedocs.io/en/stable/04-modality-specific-files/11-near-infrared-spectroscopy.html </a>", , , ,"Qianqian Fang, Sara Sanchez-Alonso"," Meryem Ayşe Yücel, Samuel Montero-Hernandez",Open for review
Field of View,"The field-of-view (FOV) is the extent of tissue that can be effectively captured by a certain fNIRS probe configuration. It determines the region that the optode array is sensitive to.
",Analysis,coverage area,FOV,Resolution,"<p></p>
",(if applicable) ,(if applicable) ,(if applicable) ,Katharina Stute,"Paola Pinti, Samuel Forbes, Murat Can Mutlu, Franziska Klein, Sara Sanchez-Alonso",Complete (agreement from at least 5 team members)
Forward Model,"The forward model (y = Ax, where y is the simulated or measurement data, A is the sensitivity matrix, and x is the changes in optical properties) for fNIRS describes the relationship between the changes in optical density measured by source-detector pairs on the scalp and the changes in optical properties in the underlying brain tissue. Photon migration is simulated for any given source and detector pair using a segmented head model, typically with 5 tissue types. The result is the so-called sensitivity matrix (A) or Jacobian matrix. The rows of the sensitivity matrix (A) represent each source-detector pair's sensitivity to the underlying absorption changes. This sensitivity matrix (A) can be used to solve the inverse problem in the Diffuse Optical Tomography image reconstruction process.",Analysis,"Forward Problem, Inverse Problem, Diffuse optical tomography, Sensitivity matrix, ",,,"<a href=""https://doi.org/10.1016/j.neuroimage.2009.07.033"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2009.07.033</a><p></p><a href=""https://doi.org/10.34133/2022/9850248 
"" target=""_blank"">https://doi.org/10.34133/2022/9850248 
</a>", , , ,Talukdar Raian Ferdous," David Moreau, Franziska Klein, Paola Pinti, Aahana Bajracharya, Guy Perkins, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members)
Frame rate,Frequency at which frames are recorded in Hz.,Analysis,"sampling rate, Nyquist frequency",,Temporal resolution,"<p></p><a href=""https://doi.org/10.1117/1.nph.8.1.012101
"" target=""_blank"">https://doi.org/10.1117/1.nph.8.1.012101
</a>", , , ,OntoNIRS," Aahana Bajracharya, Ishara Paranawithana, Christian Gerloff, Samuel Forbes, Samuel Montero-Hernandez",Complete (agreement from at least 5 team members)
General linear model,"General linear model is a linear regression model that allows for analyzing data ( $\\gamma$ ) according to a given set of regressors often also referred to as predictors in the context of experiment design, ( $\\chi$ ) by estimating fit coefficients ( $\\beta$ ). The general equation of the GLM is:  $Y=X\\beta + \\varepsilon$. For fNIRS, $\\gamma$  is the time series of fNIRS measurements, $\\chi$ is the design matrix including all regressors, $\\beta$ is the coefficients to be estimated for each regressor,  and $\\varepsilon$ is the the error term which is assumed to be spherical Gaussian N(0,$\\sigma$). The model is typically solved via generalized ordinary least squares: 


$ \\beta = (X^TX)^{-1}X^TY $
$ cov(\\beta) = (X^TX)^{-1} $
In order for this solution to be the best linear unbiased estimate of the coefficients, the Gauss-Markov assumptions have to be fulfilled, namely linearity, random sampling, non-collinearity, strict exogeneity and spherical errors.
",Analysis,"Linear regression, Generalized Linear Mixed Model, regression",GLM,,"<a href=""https://doi.org/10.1007/978-1-59745-530-5_10"" target=""_blank"">https://doi.org/10.1007/978-1-59745-530-5_10</a>", ,regression, ,"OntoNIRS, Jessica Gemignani"," Aykut Eken, Paola Pinti, Jessica Gemignani, Mahmoud Elsherif, Samuel Forbes; Antonia Hamilton, Felipe Orihuela-Espina, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members)
Hemodynamic response function," A hemodynamic response function (HRF) is a transfer function that models the hemodynamic changes in response to neural activity. The shape of the HRF is mediated by several non-neuronal factors (e.g. hematocrit, size and density of the vasculature) and can vary depending on the nature of the neural activity, the brain region as well as individual differences (e.g. age, disease). The HRF models can be fixed such as double-gamma HRF model, or more flexible such as FIR, or consecutive gaussians. The basic parameters of these models are the width, latency and amplitude that determine the shape of the HRF. ",Analysis,"Hemodynamic response; Gamma distribution; FIR Deconvolution; Canonical HRF; BOLD response, neurovascular coupling",HRF,,"<a href=""https://doi.org/10.1006/nimg.1998.0369"" target=""_blank"">https://doi.org/10.1006/nimg.1998.0369</a><p></p><a href=""https://doi.org/10.1007/s11682-020-00358-8
"" target=""_blank"">https://doi.org/10.1007/s11682-020-00358-8
</a><p></p><a href=""https://doi.org/10.1117%2F1.NPh.6.2.025009
"" target=""_blank"">https://doi.org/10.1117%2F1.NPh.6.2.025009
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2004.07.013
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2004.07.013
</a><p></p><a href=""https://andysbrainbook.readthedocs.io/en/latest/fMRI_Short_Course/Statistics/03_Stats_HRF_Overview.html
"" target=""_blank"">https://andysbrainbook.readthedocs.io/en/latest/fMRI_Short_Course/Statistics/03_Stats_HRF_Overview.html
</a>", , , ,"Felix Scholkmann, Meryem Ayşe Yücel"," David Moreau, Franziska Klein, Ishara Paranawithana, Paola Pinti, Simone Cutini, Jessica Gemignani, Mahmoud Elsherif, Christian Gerloff, Abi Fiske, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members)
High-pass filter,A high pass filter (HPF) allows the signal portion corresponding to high-frequency values alone to pass through it.,Analysis,"low-pass filter, filtering, preprocessing, low frequency oscillations, noise, bandpass filter",hpf,,"<a href=""https://www.sciencedirect.com/topics/engineering/high-pass-filter"" target=""_blank"">https://www.sciencedirect.com/topics/engineering/high-pass-filter</a><p></p>Implementation of Smart Healthcare Systems using AI, IoT, and Blockchain, 2023
", , , ,Meryem Ayşe Yücel (from Science Direct)," Franziska Klein, Chia-Chuan Yu, Ishara Paranawithana, Sara Sanchez-Alonso, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members) 
Image Reconstruction,"Image reconstruction in functional near-infrared spectroscopy (fNIRS) is the process of generating 2D or 3D spatially varying images of the hemodynamic response in the brain using recorded signals from fNIRS optodes on the scalp, typically using a head model as a spatial prior (either subject-specific or atlas-based), often referred to as Diffuse Optical Tomography (DOT). This is an approach for image reconstruction in fNIRS, which uses a computational model of light propagation within the head (forward problem) to estimate the distribution of hemodynamic changes that give rise to the measured signal (inverse problem). The forward problem and inverse problem are two important steps in image reconstruction. The forward problem refers to the calculation of the distribution of light propagation (Intensity, Phase, Time of Flight) in the head, given the distribution of the light sources and detectors on the scalp while the inverse problem refers to the estimation of the hemodynamic response in the brain tissue from the measured signal.",Analysis,"Diffuse Optical Tomography, Forward problem, inverse problem",,,"<a href=""https://doi.org/10.1117/1.NPh.8.1.012101"" target=""_blank"">https://doi.org/10.1117/1.NPh.8.1.012101</a><p></p><a href=""https://doi.org/10.1117/1.NPh.8.2.025010
"" target=""_blank"">https://doi.org/10.1117/1.NPh.8.2.025010
</a><p></p><a href=""https://doi.org/10.1364/OE.17.020178
"" target=""_blank"">https://doi.org/10.1364/OE.17.020178
</a><p></p><a href=""https://doi.org/10.1117/1.JBO.22.12.125001
"" target=""_blank"">https://doi.org/10.1117/1.JBO.22.12.125001
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2013.03.069
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2013.03.069
</a><p></p><a href=""https://doi.org/10.34133/2022/9850248 
"" target=""_blank"">https://doi.org/10.34133/2022/9850248 
</a>", , , ,"Samuel Forbes, Talukdar Raian Ferdous"," David Moreau, Talukdar Raian Ferdous, Aahana Bajracharya, Hanieh Zainodini, Samuel Forbes, Meryem Ayşe Yücel, Hamid Dehghani ",Complete (agreement from at least 5 team members)
Independent Component Analysis,"Independent component analysis (ICA) is a blind source separation method which separates a multivariate data (e.g., fNIRS signal) into statistically independent components which are assumed to be statistically independent from each other and have a non-gaussian distribution. Different types of ICA are available (e.g. linear and non-linear ICAs). The removal of physiological noise (such as heart rate and respiration) and motion artifacts, as well as the identification of neuronal activity sources, have been demonstrated to be effectively achievable in fNIRS data using ICA.",Analysis,"Principal Component Analysis, Cocktail Party Problem, Central limit theorem, noise removal, functional connectivity",ICA,,"<p></p><a href=""https://doi.org/10.3389/fninf.2021.683735
"" target=""_blank"">https://doi.org/10.3389/fninf.2021.683735
</a><p></p><a href=""https://doi.org/10.1016/0165-1684%2894%2990029-9
"" target=""_blank"">https://doi.org/10.1016/0165-1684%2894%2990029-9
</a><p></p><a href=""https://doi.org/10.1109/embc.2013.6611118
"" target=""_blank"">https://doi.org/10.1109/embc.2013.6611118
</a><p></p><a href=""https://doi.org/10.1098/rsta.2011.0534
"" target=""_blank"">https://doi.org/10.1098/rsta.2011.0534
</a><p></p><a href=""https://doi.org/10.1063/1.4812785 
"" target=""_blank"">https://doi.org/10.1063/1.4812785 
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2010.02.080 
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2010.02.080 
</a><p></p>
", , , ,Michael Lührs," Aahana Bajracharya, Franziska Klein, Aykut Eken, Chia-Chuan Yu, Ishara Paranawithana, Talukdar Raian Ferdous, Simone Cutini, Mahmoud Elsherif, Meryem Ayşe Yücel, Felix Scholkmann, Anastasia Kerr-German",Complete (agreement from at least 5 team members)
Inverse problem,"In the framework of the forward problem (y = Ax,  where y is the simulated or measurement data, A is the sensitivity matrix, and x is the changes in optical properties), the goal of an inverse problem would be to reconstruct or infer the characteristics of the original signal source (e.g, changes in hemodynamic activity in the brain) based on the measured signal (e.g., changes in optical intensity). This model is often expressed as an inverse operator or transform, which maps the unknowns to the observed data. However, due to the possibilities of multiple solutions or uncertainties, inverse problems often tend to be ill-posed. ",Analysis,"Forward model, Forward problem, Inverse problem, Image Reconstruction",,,"<a href=""https://doi.org/10.34133/2022/9850248 "" target=""_blank"">https://doi.org/10.34133/2022/9850248 </a>", , , ,Aahana Bajracharya," David Mehler, Lauren Emberson, Sara Sanchez-Alonso, Anastasia Kerr-German, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members)
Lab Streaming Layer,"The lab streaming layer (LSL) is an open source software framework which allows exchanging data streams (e.g., time series data between programs and devices) in real time using a local network instead of a trigger cable. This streaming of time-series data (e.g. fNIRS, EEG) allows for multi-modal time-synchronization. LSL is supported by various NIRS hardware devices, acquisition programs as well as presentation softwares. The core transport library of LSL is liblsl and it is applicable to different language interfaces (C, C++, Python, Java, C#, MATLAB) and platforms.",Analysis,"real-time processing, multimodal time-synchronization",LSL,,"<a href=""https://doi.org/10.34133/2022/9850248 "" target=""_blank"">https://doi.org/10.34133/2022/9850248 </a>", , , ,Agnes Kroczek,"Gregoire Vergotte, Lenaic Borot David Moreau, Franziska Klein, Talukdar Raian Ferdous, Chia-Chuan Yu, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members) 
Low-pass filter,"Low-pass filters are used to keep signal frequencies below a certain frequency threshold by attenuating signals above this threshold. As low-pass filters remove high-frequency content of a given signal (e.g., cardiac oscillations or instrument noise) they have the effect of smoothing the signal.",Analysis,"High-pass filter, Band-pass filter, preprocessing, noise",LPF,,"Luck, S. J. (2014). An introduction to the event-related potential technique. MIT press. ", , , ,Jason DeFreitas," Mahmoud Elsherif, Franziska Klein, Murat Can Mutlu, Chia-Chuan Yu, Samuel Forbes, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members)
Mixed-effects model,"Mixed-effects model is a statistical model containing both fixed effects and random effects. In contrast to fixed effects, mixed effects models contain one or more random effects to each fixed effect, which can consist of random intercepts and random slopes. Equation of a mixed-effects model is given below:					$ y = \\chi \\beta + Zu + epsilon $
$y$ : The dependent variable or response variable being modeled
$\\chi$: The design matrix of fixed effects 
$\\beta$: Fixed-effect regression coefficients
$Z$: The design matrix of random effects
$u$: Random effects regression coefficients
$\\epsilon$ The residual error or noise in the model 
",Analysis,"High-pass filter, Band-pass filter, preprocessing, noise",ME,General Linear mixed models ,"<a href=""https://doi.org/10.1007/BF00140873"" target=""_blank"">https://doi.org/10.1007/BF00140873</a><p></p>Winter, B. (2019). Statistics for linguists: An introduction using R. Routledge.
<p></p><a href=""https://doi.org/10.18637/jss.v067.i01
"" target=""_blank"">https://doi.org/10.18637/jss.v067.i01
</a><p></p>Seltman, Howard J. ""Experimental Design and Analysis."" (2018)
", , , ,Hendrik Santosa," Felipe Orihuela-Espina, Mahmoud Elsherif, Jessica Gemignani, Talukdar Raian Ferdous, Samuel Forbes, Anastasia Kerr-German",Complete (agreement from at least 5 team members)
